rank,rating,prospect,position,state,school,status
954,0.8519,Christian Pedersen,TE,CA,Louisville,X
1040,0.8485,Derrick Edwards,CB,FL,Louisville,X
1047,0.8485,RJ Sorensen,SDE,FL,Louisville,X
1132,0.8464,TJ Quinn,S,GA,Louisville,X
1180,0.8432,Ashton Gillotte,WDE,FL,Louisville,X
1192,0.8431,Jaylin Alderman,ILB,GA,Louisville,X
1377,0.8358,Ryheem Craig,WDE,NC,Louisville,X
1603,0.8255,Martavien Johnson,ATH,OH,Louisville,Warm
11,0.9922,Tristan Leigh,OT,VA,LSU,CB
19,0.9886,Maason Smith,DT,LA,LSU,CB
36,0.9807,Raesjon Davis,OLB,CA,LSU,X
38,0.98,Sage Ryan,S,LA,LSU,CB
60,0.9706,Brian Thomas Jr.,WR,LA,LSU,CB
65,0.9679,Chris Hilton,WR,LA,LSU,X
73,0.9656,JoJo Earle,WR,TX,LSU,X
79,0.9647,Garrett Dellinger,OT,MI,LSU,X
84,0.9629,Deion Smith,WR,MS,LSU,X
102,0.9527,Landon Jackson,WDE,TX,LSU,X
107,0.9512,Garrett Nussmeier,QB,TX,LSU,X
120,0.9449,Nathaniel Wiggins,CB,GA,LSU,CB
158,0.9297,Corey Kiner,RB,OH,LSU,X
182,0.924,Greg Penn III,ILB,MD,LSU,X
194,0.9212,Naquan Brown,WDE,VA,LSU,X
203,0.92,Zavier Carter,OLB,GA,LSU,X
238,0.9098,Keanu Koht,WDE,FL,LSU,X
244,0.9092,Saivion Jones,WDE,LA,LSU,X
340,0.8904,Khari Gee,S,GA,LSU,X
569,0.8696,Anthony Hundley,DT,FL,LSU,X
737,0.8602,Var'Keyes Gumms,TE,TX,LSU,Offer
785,0.858,Colin Henrich,OG,DC,LSU,Offer
4000,0.81,Peyton Todd,P,LA,LSU,X
1077,0.8477,Isaiah Finnie,OLB,FL,Marshall,X
1472,0.8315,Jordan Burrell,S,SC,Marshall,Offer
1548,0.8286,Jayden Bodison,S,FL,Marshall,X
1582,0.8265,Cam'Ron Ransom,QB,FL,Marshall,Offer
1966,0.7903,Keegan Davis,TE,FL,Marshall,X
57,0.9731,Demeioun Robinson,WDE,MD,Maryland,X
180,0.9244,Marcus Bradley,DT,MD,Maryland,X
243,0.9094,Taizse Johnson,DT,DC,Maryland,X
349,0.8894,Tommy Akingbesote,DT,MD,Maryland,X
446,0.8778,Caleb Coombs,WR,DC,Maryland,Offer
570,0.8696,ZionAngelo Shockley,WDE,MD,Maryland,X
606,0.8668,Antwain Littleton,FB,DC,Maryland,X
673,0.8635,Bam Booker,OLB,OH,Maryland,X
743,0.8601,Corey Coley Jr.,S,FL,Maryland,X
817,0.8572,Weston Wolff,TE,FL,Maryland,X
820,0.8572,CJ Dippre,TE,PA,Maryland,X
854,0.8553,Dante Trader Jr.,CB,MD,Maryland,X
898,0.854,Terrance Butler,WDE,MD,Maryland,X
928,0.8527,Tai Felton,WR,VA,Maryland,X
1041,0.8485,Jayon Venerable,ATH,MD,Maryland,X
1084,0.8477,Bruno Zandamela,OT,FL,Maryland,Offer
1124,0.8465,Leron Husbands,TE,DC,Maryland,X
1125,0.8465,Colby McDonald,RB,DC,Maryland,X
1316,0.8378,Joseph Bearns,TE,MD,Maryland,X
1851,0.8086,Kyle Long,OT,MO,Maryland,X
2500,0.8578,Gereme Spraggins,ILB,JUCO,Maryland,X
1310,0.8386,Tyrese Baptiste,ATH,MA,Massachusetts,Offer
1701,0.8204,Dominic Schofield,OLB,MA,Massachusetts,X
1777,0.8154,Michael Fitzgerald,QB,GA,Massachusetts,X
1800,0.8123,Eni Falayi,WR,MA,Massachusetts,X
1837,0.8104,Ryan Mosesso,TE,MA,Massachusetts,X
1852,0.8085,Kenny Dudley Jr,S,DC,Massachusetts,X
1885,0.8054,Phil Jeffs,OT,ON,Massachusetts,X
1955,0.7953,Brady Olson,QB,MA,Massachusetts,X
1964,0.7942,Jamir Roberts,WR,MD,Massachusetts,X
392,0.8852,Andrew Jones ILB,ILB,LA,Memphis,X
630,0.866,JP Martin,RB,TX,Memphis,X
642,0.8648,Royce White,OT,GA,Memphis,X
699,0.8626,Tyrell Raby,CB,LA,Memphis,X
808,0.8573,Raheem Roberts,ATH,LA,Memphis,X
866,0.8552,Gregory Rubin,S,TN,Memphis,X
899,0.854,Kolbe Fields,OLB,LA,Memphis,X
1019,0.8498,Cameron Wright,WR,MS,Memphis,X
1022,0.8498,Jawon Odoms,CB,TN,Memphis,X
1086,0.8477,Erick Smith Jr.,WR,FL,Memphis,Warm
1127,0.8465,Eric Randall,S,LA,Memphis,X
1159,0.8451,James Stewart,SDE,TN,Memphis,X
1214,0.8418,Chandler Pittman,ATH,MS,Memphis,Offer
1246,0.841,Renard Gwynn,WDE,TX,Memphis,Offer
1289,0.8397,Seth Henigan,QB,TX,Memphis,X
1335,0.8376,Brandon Warner,S,TN,Memphis,X
1356,0.8366,Ariyon Paige,CB,TN,Memphis,Offer
1383,0.8357,Zy Brockington,SDE,GA,Memphis,X
1396,0.8356,Errington McRae,TE,AR,Memphis,X
1509,0.8305,Jared Nedd,ILB,GA,Memphis,X
1712,0.8194,Bryce Edmondson,ILB,TN,Memphis,X
1818,0.8115,Ramier Lewis,OT,MI,Memphis,Offer
2500,0.8617,Myron Green,SDE,JUCO,Memphis,X
9,0.9926,James Williams,ATH,FL,Miami,X
27,0.9838,Leonard Taylor,DT,FL,Miami,X
128,0.941,Romello Brinson,WR,FL,Miami,X
154,0.9311,Laurence Seymore,OG,FL,Miami,X
162,0.9289,Jacolby George,WR,FL,Miami,X
215,0.9154,Jabari Ishmael,WDE,FL,Miami,X
224,0.913,Thad Franklin,RB,FL,Miami,X
227,0.9127,Elijah Arroyo,TE,TX,Miami,X
241,0.9095,Savion Collins,DT,FL,Miami,X
251,0.9073,Chase Smith,ATH,FL,Miami,CB
298,0.898,Kamren Kinchens,S,FL,Miami,X
308,0.8962,Michael McLaughlin,OT,FL,Miami,X
353,0.8891,Brashard Smith,WR,FL,Miami,X
394,0.8851,Ryan Rodriguez,OC,FL,Miami,X
486,0.8748,Tyler Johnson,OLB,FL,Miami,X
733,0.8606,Kahlil Brantley,TE,FL,Miami,X
750,0.8594,Tim Burns Jr.,CB,FL,Miami,X
847,0.8559,Allan Haye,DT,FL,Miami,X
874,0.8548,Thomas Davis,WDE,GA,Miami,X
994,0.8506,Deshawn Troutman,ILB,FL,Miami,X
1027,0.8498,Malik Curtis,ATH,FL,Miami,X
1872,0.8054,Andres Borregales,K,FL,Miami,X
1212,0.8423,Kyle Fugedi,OT,MI,Miami (OH),X
1293,0.8396,Malik Verdon,ATH,OH,Miami (OH),X
1318,0.8377,Marlon Dawson,OLB,MI,Miami (OH),X
1357,0.8366,Keontae Pittman,RB,KY,Miami (OH),Offer
1427,0.8336,Corban Hondru,ILB,PA,Miami (OH),X
1448,0.8322,Caleb Tubbs,CB,OH,Miami (OH),X
1595,0.8261,Jaymar Mundy,CB,OH,Miami (OH),X
1642,0.8227,Angelo Butts,WR,MO,Miami (OH),X
1644,0.8227,Nasir Washington,WDE,IA,Miami (OH),X
1763,0.8159,Will Jados,OT,OH,Miami (OH),X
1789,0.8139,James Carnie,TE,NE,Miami (OH),CB
1844,0.8099,Matt Reardon,ATH,OH,Miami (OH),X
1896,0.8051,Evan Azzara,OT,PA,Miami (OH),X
1913,0.8018,Daylan Long,ILB,OH,Miami (OH),X
1938,0.7991,Deavion Pierce,S,IL,Miami (OH),X
1940,0.799,Darez Snider,RB,MO,Miami (OH),X
1960,0.7953,Brett Coleman,S,KY,Miami (OH),X
2000,0.7802,Kolby Borders,OG,IN,Miami (OH),X
2011,0.7742,Jackson Schott,OLB,IN,Miami (OH),X
17,0.9889,J.J. McCarthy,QB,IL,Michigan,X
34,0.9816,Donovan Edwards,RB,MI,Michigan,CB
68,0.9666,Giovanni El-Hadi,OT,MI,Michigan,X
115,0.9477,Junior Colson,OLB,TN,Michigan,X
126,0.9424,Drew Kendall,OG,MA,Michigan,CB
148,0.9348,Quintin Somerville,SDE,AZ,Michigan,X
174,0.9256,Xavier Worthy,WR,CA,Michigan,X
189,0.9228,Rayshaun Benny,OT,MI,Michigan,CB
196,0.9207,George Rooks,DT,NJ,Michigan,CB
209,0.9175,Cristian Dixon,WR,CA,Michigan,X
211,0.9171,Raheem Anderson,OC,MI,Michigan,X
245,0.9089,Greg Crippen,OC,FL,Michigan,X
252,0.9073,Louis Hansen,TE,MA,Michigan,X
297,0.8981,Jaydon Hood,ILB,FL,Michigan,X
330,0.8925,Kechaun Bennett,SDE,CT,Michigan,X
418,0.8809,Rod Moore,S,OH,Michigan,X
454,0.8776,Tyler McLaurin,OLB,IL,Michigan,X
530,0.8721,Andrel Anthony,WR,MI,Michigan,X
547,0.8709,Markus Allen,WR,OH,Michigan,X
621,0.8667,Ja'Den McBurrows,CB,FL,Michigan,X
683,0.8628,Tristan Bounds,OT,CT,Michigan,X
855,0.8552,TJ Guy,WDE,MA,Michigan,X
1164,0.8444,Casey Phinney,ILB,MA,Michigan,X
1753,0.8165,Tommy Doman,P,MI,Michigan,X
1759,0.816,Dominick Giudice,WDE,NJ,Michigan,X
317,0.8958,Geno VanDeMark,OG,NJ,Michigan State,CB
343,0.8902,Audric Estime,RB,NJ,Michigan State,CB
565,0.8701,Bryon Threats,ATH,OH,Michigan State,Offer
666,0.8639,Ethan Boyd,OT,MI,Michigan State,X
677,0.8634,Tyson Watson,SDE,MI,Michigan State,X
679,0.8632,Charles Brantley,CB,FL,Michigan State,X
693,0.8627,Jah'von Grigsby,S,LA,Michigan State,CB
696,0.8627,Mikai Gbayor,ILB,NJ,Michigan State,Warm
792,0.8577,Jace Williams,WR,MI,Michigan State,Offer
793,0.8577,Mason Randolph,OG,CA,Michigan State,Offer
1011,0.8505,Michael Gravely Jr.,S,OH,Michigan State,X
1033,0.8494,Hampton Fay,QB,TX,Michigan State,X
1095,0.8472,Derrick Harmon,DT,MI,Michigan State,X
1096,0.8472,Antoine Booth,CB,MD,Michigan State,X
1179,0.8436,Davion Primm,RB,MI,Michigan State,X
1272,0.841,Kameron Allen,TE,TX,Michigan State,X
1304,0.8389,Kevin Wigenton,OG,NJ,Michigan State,X
1439,0.8323,Steffan Johnson,CB,FL,Michigan State,CB
2500,0.8345,Shaquon Anderson-Butts,WR,JUCO,Michigan State,Offer
5000,0.88,Dominic Bass,DT,IL,Michigan State,Offer
5000,0.82,Langston White,ATH,GA,Michigan State,Offer
5000,0.81,Mark Vassett,P,AUST,Michigan State,X
1578,0.8265,Tre Shackelford,WR,AL,Middle Tennessee State,Offer
1592,0.8265,Elijah Metcalf,WR,NC,Middle Tennessee State,Offer
1811,0.8118,Matthew Geeting,QB,CA,Middle Tennessee State,X
111,0.9487,Avante Dickerson,CB,NE,Minnesota,X
293,0.8987,Athan Kaliakmanis,QB,IL,Minnesota,X
311,0.8958,Steven Ortiz,CB,AZ,Minnesota,X
321,0.8944,Mar'Keise Irving,RB,IL,Minnesota,X
359,0.8888,Davon Townley,SDE,MN,Minnesota,CB
423,0.8801,Deven Eastern,SDE,MN,Minnesota,X
487,0.8748,Cameron James,OT,IL,Minnesota,X
498,0.8742,Devon Williams,OLB,OH,Minnesota,X
527,0.8721,Lemeke Brockington,WR,GA,Minnesota,X
560,0.8702,Austin Booker,SDE,IN,Minnesota,X
583,0.8688,Jameson Geers,TE,IL,Minnesota,X
624,0.8667,Jake Ratzlaff,OLB,MN,Minnesota,Warm
667,0.8639,Logan Purcell,OT,MN,Minnesota,X
770,0.8593,Brady Boyd,WR,TX,Minnesota,X
813,0.8573,Darius Green,S,GA,Minnesota,X
852,0.8558,Dino Kaliakmanis,WR,IL,Minnesota,X
970,0.8519,Austin Barber,OT,FL,Minnesota,X
1076,0.8477,Oronde Gadsden II,WR,FL,Minnesota,Warm
1365,0.8366,Brian Blades ll,CB,FL,Minnesota,Offer
4000,0.84,Sincere Littles,DT,FL,Minnesota,Offer
143,0.9359,Sawyer Robertson,QB,TX,Mississippi State,X
223,0.9134,Theodore Knox,WR,TX,Mississippi State,X
248,0.9081,Malik Nabers,WR,LA,Mississippi State,X
493,0.8743,Brandon Buckhaulter,WR,MS,Mississippi State,X
522,0.8722,Jacobi Moore,WR,MS,Mississippi State,Warm
962,0.8519,Makylan Pounders,OG,MS,Mississippi State,X
1004,0.8505,Daniel Greek,QB,TX,Mississippi State,X
1039,0.8485,Timar Rogers,OLB,FL,Mississippi State,X
1091,0.8473,Myzel Williams,S,FL,Mississippi State,X
1134,0.8464,Amariyon Howard,RB,MS,Mississippi State,X
1260,0.841,Corey Ellington,S,MS,Mississippi State,X
1360,0.8366,Jaden Jones,SDE,AL,Mississippi State,Offer
1798,0.8126,Brendan Toles,CB,MS,Mississippi State,X
2500,0.8739,Cortez Eatmon,CB,JUCO,Mississippi State,X
2500,0.8628,Navonteque Strong,ILB,JUCO,Mississippi State,X
3000,0.88,Jamond Gordon,DT,JUCO,Mississippi State,Offer
5000,0.87,Demarcus Smith,SDE,AL,Mississippi State,Warm
5000,0.82,Gabe Cavazos,OT,MS,Mississippi State,X
5000,0.82,Jim Riley,OT,MS,Mississippi State,CB
5000,0.82,Tre'von Marshall,WDE,GA,Mississippi State,X
200,0.9204,Travion Ford,WDE,MO,Missouri,X
303,0.897,Dominic Lovett,WR,IL,Missouri,Warm
377,0.8872,Connor Tollison,OT,MO,Missouri,X
428,0.8794,Ezra Dotson-Oyetade,OC,TX,Missouri,Warm
443,0.8782,Dameon Wilson,ILB,NC,Missouri,X
445,0.8779,Kyran Montgomery,WDE,IN,Missouri,CB
468,0.8762,Daylan Carnell,CB,IN,Missouri,X
517,0.8727,Tyler Macon,QB,IL,Missouri,X
650,0.8647,Davion Sistrunk,CB,FL,Missouri,X
676,0.8634,Taj Butts,RB,MO,Missouri,X
724,0.8613,Tyler Hibbler,S,MO,Missouri,X
725,0.8613,Zachary Lovett,ILB,FL,Missouri,X
742,0.8601,BJ Harris,RB,TN,Missouri,X
806,0.8573,Jonathan Jones,SDE,TX,Missouri,X
905,0.8539,Ryan Hoerstkamp,TE,MO,Missouri,X
964,0.8519,Gavin McKay,TE,TN,Missouri,X
989,0.8511,Mekhi Wingo,DT,MO,Missouri,X
1001,0.8506,Darius Jackson,CB,TX,Missouri,X
1087,0.8477,Kenard Snyder,OLB,FL,Missouri,Offer
1244,0.841,Zxaequan Reeves,CB,FL,Missouri,X
2500,0.8739,Shemar Pearl,WDE,JUCO,Missouri,X
2500,0.8628,Daniel Robledo,WDE,JUCO,Missouri,X
5000,0.86,Isaiah Taylor,S,FL,Missouri,Offer
1995,0.7831,Andrew Patterson,WR,AZ,Montana State,X
2006,0.7781,Sean Austin,QB,ID,Montana State,X
1178,0.8437,Tyler Gaskin,CB,FL,Navy,CB
1605,0.8255,Nathan Roach,OG,MA,Navy,X
1662,0.8215,Patrick Turner,ILB,TX,Navy,CB
1694,0.8204,Tylan Hines,RB,TX,Navy,X
1766,0.8154,Nasir Robinson,RB,NJ,Navy,X
2005,0.7781,Jacob Rooks,CB,CT,Navy,X
188,0.9229,Micah Crowell,WR,NC,NC State,X
253,0.9067,Aaron McLaughlin,QB,GA,NC State,X
259,0.9057,Yousef Mugharbil,OG,NC,NC State,Warm
294,0.8987,Jordan Poole,ATH,NC,NC State,X
381,0.8863,Travali Price,WDE,NC,NC State,X
508,0.874,Jabril McNeill,OLB,NC,NC State,CB
523,0.8722,Zeiqui Lawton,SDE,WV,NC State,CB
550,0.8706,Julian Gray,WR,NC,NC State,X
615,0.8668,Cedric Seabrough,TE,GA,NC State,X
623,0.8667,Chase Hattley,S,NC,NC State,Offer
688,0.8627,Zyun Reeves,SDE,NC,NC State,CB
764,0.8593,Nate Evans,CB,VA,NC State,X
814,0.8572,Jaleel Davis,OT,NC,NC State,X
824,0.8572,Fredrick Seabrough,TE,GA,NC State,X
845,0.8559,Caden Fordham,S,FL,NC State,X
945,0.852,Thornton Gentry,OC,SC,NC State,X
958,0.8519,Mario Love,CB,NC,NC State,X
1131,0.8465,Jakolbe Baldwin,WR,NC,NC State,X
1422,0.8336,Demie Sumo,RB,NJ,NC State,X
1625,0.8248,Sean Brown,S,NC,NC State,X
1999,0.7803,Jayden Tate,LS,NC,NC State,X
5000,0.84,Lyndon Cooper,OG,GA,NC State,Warm
90,0.9574,Thomas Fidone,TE,IA,Nebraska,CB
141,0.937,Wynden Ho'ohuli,ILB,HI,Nebraska,CB
229,0.9125,Teddy Prochazka,OT,NE,Nebraska,X
249,0.9078,Randolph Kpai,OLB,SD,Nebraska,X
395,0.8851,Zamon Ross,S,GA,Nebraska,Offer
430,0.8791,Latrell Neville,WR,TX,Nebraska,X
436,0.8788,Patrick Payton,OLB,FL,Nebraska,X
505,0.8742,Henry Lutovsky,OG,IA,Nebraska,X
515,0.8732,Kamonte Grimes,ATH,FL,Nebraska,Warm
539,0.8713,Will Schweitzer,OLB,CA,Nebraska,X
546,0.8709,Ru'Quan Buckley,SDE,MI,Nebraska,CB
561,0.8702,Heinrich Haarberg,QB,NE,Nebraska,X
705,0.8622,Shawn Hardy,WR,GA,Nebraska,X
773,0.8588,Gabe Ervin,RB,GA,Nebraska,X
798,0.8577,AJ Rollins,TE,NE,Nebraska,CB
831,0.8566,Branson Yager,OT,UT,Nebraska,X
1202,0.8426,Seth Malcom,OLB,IA,Nebraska,X
1367,0.8366,Lardarius Webb Jr.,CB,MS,Nebraska,X
1375,0.8363,Malik Williams,CB,GA,Nebraska,Warm
1750,0.8165,Mandela Tobin,SDE,CA,Nebraska,Warm
2500,0.8517,Marques Buford,CB,PREP,Nebraska,X
1016,0.8499,Dominic Eldridge,OT,TX,Nevada,X
1172,0.8444,Jeremiah Bodwin,OLB,TX,Nevada,X
1514,0.8302,Andrew Madrigal,OT,CA,Nevada,X
1568,0.828,Carlton Brown,TE,CA,Nevada,X
1727,0.8173,Dwight Togiola,WDE,WA,Nevada,X
1785,0.8139,Zachary Lewis,ATH,AZ,Nevada,X
1804,0.8123,Trevyn Heil,ILB,CO,Nevada,X
1809,0.8118,Drew Scolari,QB,NV,Nevada,X
1810,0.8118,Wilburn Smallwood,WDE,TX,Nevada,X
1884,0.8054,Zion Burns,S,AZ,Nevada,X
1890,0.8053,Ty Collins,RB,TX,Nevada,X
1193,0.843,Raheem Toombs,RB,FL,New Mexico,X
1211,0.8423,Keyonta Lanier,ATH,CA,New Mexico,X
1342,0.837,Joshua Atkins,OT,TX,New Mexico,X
1345,0.8367,Michael Murray,WR,TX,New Mexico,X
1547,0.8286,Isaiah Sillemon,OG,TX,New Mexico,X
1555,0.8282,Micah Young,ILB,TX,New Mexico,Offer
1721,0.8181,Jacob Trussell,TE,TX,New Mexico,X
1731,0.8173,Dayton Robinson,OG,TX,New Mexico,X
1732,0.8173,Ronald Wilson,S,TX,New Mexico,X
1864,0.8065,Bear Milacek,QB,AZ,New Mexico,X
1892,0.8053,Damon Gentry Jr.,CB,TX,New Mexico,X
1898,0.8051,Luke Wysong,WR,NM,New Mexico,X
1900,0.8044,Andrell Barney,CB,AZ,New Mexico,X
1901,0.8044,Jaden Phillips,SDE,NM,New Mexico,X
1939,0.7991,Larry Luna,OT,NM,New Mexico,X
1944,0.797,JD Roberts,OLB,AZ,New Mexico,X
1965,0.7942,Jashon Lowery,WDE,NM,New Mexico,X
4000,0.87,Ca'lub Holloway,OLB,TX,New Mexico,Offer
1353,0.8366,Caleb Spann,S,LA,New Mexico State,Offer
1438,0.8323,Glynn Johnson,WR,LA,New Mexico State,X
1569,0.8276,Carson Cota,TE,OR,New Mexico State,Offer
1958,0.7953,Carlos Peoples,OC,TX,New Mexico State,X
47,0.9756,Drake Maye,QB,NC,North Carolina,X
62,0.9697,Keeshawn Silver,SDE,NC,North Carolina,X
119,0.9454,Gavin Blackwell,WR,NC,North Carolina,X
121,0.9446,Raneiria Dillworth,OLB,NC,North Carolina,X
140,0.9375,Jahvaree Ritzie,SDE,NC,North Carolina,X
161,0.9292,Power Echols,ILB,NC,North Carolina,X
165,0.9272,DeAndre Boykins,ATH,NC,North Carolina,X
221,0.9145,Gabe Stephens,ATH,NC,North Carolina,X
228,0.9127,Eli Sutton,OT,TN,North Carolina,X
242,0.9094,Kamarro Edmonds,RB,NC,North Carolina,X
261,0.9052,Dontavius Nash,S,NC,North Carolina,X
357,0.8891,Kobe Paysour,WR,NC,North Carolina,X
442,0.8783,Tymir Brown,ATH,NC,North Carolina,X
489,0.8748,JJ Jones,WR,SC,North Carolina,X
638,0.8653,Caleb Hood,ATH,NC,North Carolina,X
842,0.856,Corey Palmer,WR,NJ,North Carolina,Offer
1351,0.8366,Dedrick Smith,OLB,FL,North Carolina,Warm
1572,0.8272,Trevion Stevenson,WDE,VA,North Carolina,X
1664,0.8215,Demetrius Coleman,CB,GA,North Carolina,Offer
5000,0.84,Tanner Bivins,OT,GA,North Carolina,Warm
834,0.8565,TJ Steele,WR,TX,North Texas,X
1151,0.8452,Keith Jackson,RB,TX,North Texas,X
1408,0.8349,Bryce Drummond,QB,OK,North Texas,X
1498,0.8315,Zhighlil McMillan,WR,TX,North Texas,X
1571,0.8274,Trent Ward,DT,TX,North Texas,X
1615,0.8254,Kevin Greene,DT,OK,North Texas,X
1677,0.8206,Chris Wright,WDE,TX,North Texas,X
1678,0.8206,Fatafehi Vailea,DT,NV,North Texas,X
1711,0.8194,Willie Simmons,OLB,TX,North Texas,X
1879,0.8054,Silas Barr,SDE,TX,North Texas,X
4000,0.86,Anton Ambuehl,OT,CA,North Texas,Offer
944,0.8524,Kobe Walton,S,TX,Northern Arizona,X
1466,0.8315,Jonah Carnell,WR,CA,Northern Arizona,X
1344,0.8368,Akanimo Asuquo,ILB,#N/A,Northern Illinois,
1527,0.8297,Tajheem Lawson,RB,IL,Northern Illinois,X
1539,0.8288,Luke Pinnick,OT,IA,Northern Illinois,X
1557,0.8282,Ethan Hampton,QB,IL,Northern Illinois,X
1764,0.8159,JaVaughn Byrd,CB,WI,Northern Illinois,X
1781,0.8147,Drew Biber,WR,WI,Northern Illinois,X
1822,0.8107,Brian Whitsey,S,IL,Northern Illinois,X
1894,0.8051,Trey Urwiler,ATH,IL,Northern Illinois,X
1908,0.803,Pete Nygra,OC,IN,Northern Illinois,X
1912,0.8018,Cade Haberman,DT,NE,Northern Illinois,X
1934,0.8003,Mason Pierre-Antoine,WR,IL,Northern Illinois,X
1976,0.7892,Trevon Jordan,WDE,IL,Northern Illinois,X
1985,0.7877,Blake Kosin,TE,MI,Northern Illinois,X
1993,0.7842,Ronde Worrels,RB,IL,Northern Illinois,X
2003,0.7792,Ty Myles,CB,GA,Northern Illinois,X
275,0.902,Najee Story,SDE,OH,Northwestern,X
299,0.898,Mac Uihlein,ILB,IL,Northwestern,X
333,0.8917,Caleb Tiernan,OT,MI,Northwestern,X
703,0.8622,Brendan Sullivan,QB,MI,Northwestern,X
768,0.8593,Barryn Sorrell,SDE,LA,Northwestern,X
788,0.8579,Aidan Hubbard,OLB,OH,Northwestern,X
791,0.8577,Anthony Tyus III,RB,MI,Northwestern,X
819,0.8572,Lawson Albright,TE,NC,Northwestern,X
872,0.8551,Garner Wallace,S,OH,Northwestern,X
910,0.8539,Theran Johnson,CB,IN,Northwestern,X
956,0.8519,Jackson Carsello,OT,IL,Northwestern,X
1123,0.8465,Jacob Gill,WR,NC,Northwestern,X
1470,0.8315,Isaiah Henderson,WDE,VA,Northwestern,Warm
1638,0.8227,Josh Thompson,OG,MI,Northwestern,X
1647,0.8221,Donnie Gray,ATH,CT,Northwestern,X
4000,0.85,Drew Donley,WR,TX,Northwestern,Offer
4000,0.84,Devean Deal,WR,TX,Northwestern,Offer
41,0.9777,Tyler Buchner,QB,CA,Notre Dame,X
48,0.9752,Rocco Spindler,OG,MI,Notre Dame,X
50,0.9747,Blake Fisher,OT,IN,Notre Dame,X
106,0.9513,Lorenzo Styles Jr.,WR,OH,Notre Dame,X
109,0.9494,Gabriel Rubio,DT,MO,Notre Dame,X
195,0.9211,Cane Berrong,TE,GA,Notre Dame,X
217,0.9149,Jayden Thomas,WR,GA,Notre Dame,CB
284,0.9005,Philip Riley,CB,FL,Notre Dame,X
285,0.9,Titus Mokiao-Atimalala,ATH,HI,Notre Dame,CB
300,0.8977,Prince Kollie,OLB,TN,Notre Dame,CB
335,0.8915,David Abiara,SDE,TX,Notre Dame,CB
452,0.8776,Mitchell Evans,TE,OH,Notre Dame,X
519,0.8722,Ryan Barnes,CB,MD,Notre Dame,X
525,0.8721,Justin Walters,S,IL,Notre Dame,X
564,0.8701,Pat Coogan,OG,IL,Notre Dame,X
575,0.8689,Jason Onye,WDE,RI,Notre Dame,X
612,0.8668,Logan Diggs,RB,LA,Notre Dame,X
627,0.8661,Joe Alt,OT,MN,Notre Dame,X
648,0.8647,Chance Tucker,CB,CA,Notre Dame,X
1053,0.8484,Davion Weatherspoon,OC,MI,Ohio,X
1320,0.8377,Bryce Butler,TE,DC,Ohio,X
1710,0.8194,Miles Cross,WR,MD,Ohio,X
1883,0.8054,Navell Chopin,WR,LA,Ohio,X
2,0.9993,J.T. Tuimoloau,SDE,WA,Ohio State,CB
3,0.9986,Jack Sawyer,SDE,OH,Ohio State,X
7,0.9946,Emeka Egbuka,WR,WA,Ohio State,CB
15,0.989,TreVeyon Henderson,RB,VA,Ohio State,X
20,0.9882,Donovan Jackson,OG,TX,Ohio State,X
21,0.988,Kyle McCord,QB,PA,Ohio State,X
40,0.9777,Jakailin Johnson,CB,MO,Ohio State,X
49,0.9751,Jayden Ballard,WR,OH,Ohio State,X
53,0.9745,Tywone Malone,DT,NJ,Ohio State,CB
54,0.974,Mike Hall,DT,OH,Ohio State,X
69,0.9662,Reid Carrico,ILB,OH,Ohio State,X
76,0.9649,Jordan Hancock,CB,GA,Ohio State,X
