rank,rating,prospect,position,state,school,status
4000,0.86,Terrence Williams,RB,LA,Texas State,Offer
184,0.9237,Behren Morton,QB,TX,Texas Tech,X
322,0.894,Jerand Bradley,WR,TX,Texas Tech,X
338,0.8907,Cam'Ron Valdez,RB,TX,Texas Tech,CB
577,0.8689,E'maurion Banks,SDE,TX,Texas Tech,X
664,0.864,Jed Castles,TE,TX,Texas Tech,X
731,0.8607,Mason Tharp,TE,TX,Texas Tech,X
753,0.8593,Nick Martin,ATH,TX,Texas Tech,Offer
838,0.8561,Jack Tucker,OT,TX,Texas Tech,X
984,0.8516,Keith Cooper,WDE,TX,Texas Tech,Warm
1120,0.8465,Charles Esters,SDE,TX,Texas Tech,X
1364,0.8366,Roddrell Freeman,ILB,TX,Texas Tech,Offer
1481,0.8315,Daine Hanson,SDE,IL,Texas Tech,Offer
2500,0.8317,Demeco Roland,DT,JUCO,Texas Tech,X
3000,0.87,DeShawn Page,ILB,JUCO,Texas Tech,CB
3000,0.86,Tavareon Scott,OLB,JUCO,Texas Tech,Offer
3000,0.85,Caleb Etienne,OT,JUCO,Texas Tech,Offer
3000,0.83,Logan Applewhite,WDE,JUCO,Texas Tech,Offer
5000,0.86,Javione Carr,CB,TX,Texas Tech,Offer
5000,0.82,James Burnett,S,OK,Texas Tech,Offer
772,0.8592,Willie Shaw,RB,IL,Toledo,X
818,0.8572,Jaylin Mines,S,MI,Toledo,X
1008,0.8505,Dalen Stovall,WR,OH,Toledo,X
1378,0.8357,Thomas Zsiros,WR,OH,Toledo,X
1437,0.8323,Doran Ray,DT,MI,Toledo,X
1505,0.8307,Rajon Hill,CB,MO,Toledo,X
1564,0.8281,Jeremiah Peters,WDE,FL,Toledo,X
1584,0.8265,Jamarion McDougle,WR,FL,Toledo,Offer
1597,0.8261,Willie Jones,S,IL,Toledo,X
1609,0.8255,Steve Smith,ATH,PA,Toledo,Offer
1616,0.8254,Jalen Riven,OLB,OH,Toledo,X
1628,0.8242,Esean Carter,DT,MI,Toledo,X
1632,0.8234,Clarence Wilson,SDE,MI,Toledo,X
1782,0.814,Elijah Wesley,QB,OH,Toledo,X
1786,0.8139,Vontrell Chairse,WDE,IL,Toledo,X
1825,0.8106,Riley Starnes,OT,OH,Toledo,X
1932,0.8003,Drew Beckenhaupt,OG,OH,Toledo,X
1973,0.7898,Xavier Black,WR,OH,Toledo,X
588,0.8683,Jarris Williams,RB,AL,Troy,X
1108,0.8466,Ivan Shultz,OC,AL,Troy,X
1302,0.839,Justin Bradford,CB,GA,Troy,X
1314,0.8382,Marlen Sewell,CB,AL,Troy,Offer
1452,0.8317,Quayde Hawkins,QB,GA,Troy,X
1488,0.8315,Phillip Lee,WDE,FL,Troy,X
1541,0.8286,Peyton Higgins,WR,AL,Troy,X
1649,0.8215,Logan Weedman,OT,KY,Troy,Offer
1698,0.8204,Carson Casteel,ILB,AL,Troy,X
1772,0.8154,Lawson Chandler,OT,GA,Troy,X
1774,0.8154,Damien Taylor,RB,AL,Troy,X
1863,0.8073,Caleb Ransaw,CB,AL,Troy,X
1906,0.8032,Sterling Roberts,S,FL,Troy,X
336,0.8914,Ty Keyes,QB,MS,Tulane,X
595,0.868,Kanarius Johnson,WR,MS,Tulane,X
903,0.854,Iverson Celestine,RB,LA,Tulane,X
1168,0.8444,Kolby Phillips,CB,TN,Tulane,X
1284,0.8399,Xavier Franks,WR,MS,Tulane,CB
1445,0.8322,Hutson Lillibridge,OG,MO,Tulane,X
1473,0.8315,Jaden Handy,RB,LA,Tulane,X
1693,0.8204,Donald Lee,CB,TX,Tulane,X
1703,0.8204,Mandel Eugene,OLB,LA,Tulane,X
1737,0.8173,Bailey Despanie,CB,LA,Tulane,X
1756,0.8165,Roderic Lewis,ATH,TN,Tulane,X
1783,0.8139,Billy Wiles,QB,VA,Tulane,X
1833,0.8104,Jaden Williams,WR,TX,Tulane,X
911,0.8539,Bill Jackson,RB,MO,Tulsa,X
1100,0.8468,Ken'Daylon Wilson,ATH,TX,Tulsa,Offer
1454,0.8317,Lamont Vaz,OG,TX,Tulsa,Offer
1575,0.8269,Marquis Shoulders,RB,TX,Tulsa,X
1760,0.816,Isaac Smith,WDE,OK,Tulsa,X
1802,0.8123,Mason Jolley,ILB,TX,Tulsa,X
1889,0.8053,Roderick Hopes,S,TX,Tulsa,X
400,0.8843,Malachi Bennett,WR,AL,UAB,X
995,0.8506,Grayson James,QB,TX,UAB,Offer
1420,0.8342,"Omar Simpson, Jr.",CB,FL,UAB,X
1502,0.8313,Boaz Saint-Vil,DT,FL,UAB,X
1842,0.81,Antwan Massie,CB,FL,UAB,X
1951,0.7953,Cort Bradley,OC,AL,UAB,X
2013,0.7731,Matteo Perez,RB,CA,UC Davis,X
2016,0.7731,Christian Calhoun,CB,CA,UC Davis,X
841,0.8561,Cole Joyce,ILB,AR,UCF,X
939,0.8526,Ethan Mort,OT,FL,UCF,X
1046,0.8485,Ronnie Hamrick II,CB,GA,UCF,X
1050,0.8485,Charlie Browder,TE,NC,UCF,X
1150,0.8452,Davis Mallinger,WR,FL,UCF,X
1183,0.8431,Cale Sanders,ATH,TX,UCF,X
1254,0.841,Nathan Boerboom,TE,VA,UCF,X
1303,0.839,Kadeem Leonard,OLB,NC,UCF,X
1363,0.8366,Anthony Williams,RB,FL,UCF,X
1447,0.8322,Matthew Alexander,DT,GA,UCF,X
263,0.9051,Devin Kirkwood,ATH,CA,UCLA,X
382,0.8863,Thomas Cole,OT,CA,UCLA,X
406,0.8839,Bennett Pitcher,OT,MA,UCLA,Offer
437,0.8788,Keontez Lewis,WR,IL,UCLA,X
537,0.8714,Devin Aupiu,OLB,CA,UCLA,X
592,0.8681,Ezavier Staples,WR,CA,UCLA,X
601,0.8676,Kajiya Hollawayne,QB,CA,UCLA,X
620,0.8667,DJ Justice,WR,CA,UCLA,X
645,0.8647,Garrett DiGiorgio,OT,CA,UCLA,X
844,0.8559,Isaiah Newcombe,ATH,AZ,UCLA,X
861,0.8552,Deshun Murrell,RB,AL,UCLA,X
1190,0.8431,Tyler Kiehne,SDE,NM,UCLA,X
1223,0.8416,Donovan Smith,QB,CA,UCLA,Offer
1295,0.839,Benjamin Roy,OC,NV,UCLA,X
4000,0.85,Darrien Stewart,S,NV,UCLA,Warm
496,0.8742,Nick Dimitris,WDE,CA,UNLV,X
873,0.855,Jaylen Lane,S,TX,UNLV,X
883,0.8547,Anthony Rosas,OG,CA,UNLV,X
914,0.8536,Kaden McMullen,QB,MO,UNLV,Offer
1021,0.8498,Kamren Blanton,CB,CA,UNLV,X
1057,0.8484,Brye Lighon,ATH,CA,UNLV,X
1072,0.8477,Samuel Green,RB,CA,UNLV,X
1135,0.8464,Kevon Ivy,SDE,TX,UNLV,X
1160,0.8449,Tonga Lolohea,SDE,TX,UNLV,Offer
1236,0.8416,Josh Long,OLB,CA,UNLV,Offer
1388,0.8356,Cameron Friel,QB,HI,UNLV,X
1392,0.8356,Marsel McDuffie,ILB,TX,UNLV,CB
1558,0.8282,Shaun Grayson,TE,CA,UNLV,X
1641,0.8227,Caiden Miles,OT,AZ,UNLV,X
1733,0.8173,Maurice Jamison,OLB,CA,UNLV,X
1740,0.8173,Cameron Oliver,CB,TX,UNLV,X
1846,0.8093,Aaron Holloway,WR,NV,UNLV,X
1910,0.8023,Jakelyn Morgan,CB,TX,UNLV,X
1,0.9997,Korey Foreman,SDE,CA,USC,CB
37,0.9803,Jake Garcia,QB,CA,USC,X
61,0.9702,Miller Moss,QB,CA,USC,X
72,0.9656,Ethan Calvert,ILB,CA,USC,CB
100,0.954,Quaydarius Davis,WR,TX,USC,X
108,0.9504,Julien Simon,OLB,WA,USC,X
133,0.9405,Ma'a Gaoteote,OLB,CA,USC,X
181,0.9242,Jay Toia,DT,CA,USC,X
190,0.9226,Calen Bullock,ATH,CA,USC,X
193,0.9218,Anthony Beavers Jr.,ATH,CA,USC,X
197,0.9207,Aaron Armitage,SDE,NJ,USC,CB
205,0.9195,Prophet Brown,CB,CA,USC,X
214,0.9161,Tiaoalii Savea,SDE,NV,USC,CB
279,0.9013,Josh Simmons,OG,CA,USC,CB
289,0.899,Jaylin Smith,ATH,CA,USC,X
292,0.8988,Xamarion Gordon,S,CA,USC,X
310,0.8961,Brandon Campbell,RB,TX,USC,X
371,0.8881,Tavierre Dunlap,RB,TX,USC,Warm
404,0.8842,Michael Jackson,WR,NV,USC,X
441,0.8784,Lake McRee,TE,TX,USC,X
449,0.8776,Mason Murphy,OT,CA,USC,X
464,0.8763,Colin Mobley,SDE,MD,USC,X
576,0.8689,Saia Mapakaitolo,OT,CA,USC,X
655,0.8646,Maximus Gibbs,OG,CA,USC,X
4000,0.8,Ty Buchanan,OT,TX,USC,CB
466,0.8763,KeyShawn Spencer,RB,FL,USF,CB
849,0.8559,Gunnar Greenwald,TE,FL,USF,X
937,0.8526,Jordan Blackmon,S,FL,USF,X
1042,0.8485,Gabe Nealy,S,FL,USF,X
1146,0.8453,Jaelen Stokes,CB,FL,USF,X
1194,0.843,Timmy McClain,QB,FL,USF,CB
1250,0.841,Davon Hicks,ILB,FL,USF,X
1368,0.8366,Nickolas Tshivuadi,WR,,USF,X
1372,0.8364,Desmond Mamudi,DT,FL,USF,X
1430,0.8335,Jalen Herring,ATH,FL,USF,X
1434,0.8329,Dequan Stanley,ATH,FL,USF,X
1443,0.8322,CJ Ross,OLB,FL,USF,X
1516,0.8302,Keeon Terrell,SDE,FL,USF,X
1550,0.8286,Andrew Kilfoyl,OT,#N/A,USF,
1567,0.8281,Jhalin Hobbs,DT,#N/A,USF,
2004,0.7792,Andrew Stokes,P,AUST,USF,X
4000,0.83,Thai Bowman,WR,MN,USF,Warm
226,0.9129,Peter Costelli,QB,CA,Utah,X
272,0.9027,Mason Tufaga,ILB,HI,Utah,CB
355,0.8891,Ricky Parks,RB,FL,Utah,X
488,0.8748,Logan Fano,WDE,UT,Utah,CB
607,0.8668,Trey Reynolds,ILB,AZ,Utah,X
691,0.8627,Jason White,OT,CA,Utah,Offer
804,0.8573,Jimmy Valsin,WR,TX,Utah,Warm
833,0.8566,TJ Patu,OLB,CA,Utah,Warm
839,0.8561,Koli Faaiu,OG,WA,Utah,X
997,0.8506,Deamikkio Nathan,WR,TX,Utah,X
1035,0.8493,Viliami Pouha,WDE,UT,Utah,X
1110,0.8466,Kahanu Kia,OLB,HI,Utah,CB
1221,0.8416,Isaac Vaha,TE,UT,Utah,Warm
1233,0.8416,Michael Mokofisi,DT,UT,Utah,CB
1264,0.841,Jonah Elliss,OLB,ID,Utah,X
3000,0.85,Tevita Fotu,DT,JUCO,Utah,X
1474,0.8315,Roscoe Gibson,WR,FL,Utah State,Offer
1690,0.8204,Tupou Maile,WDE,UT,Utah State,X
1735,0.8173,Kendric Rhymes,RB,TX,Utah State,X
1928,0.8003,Parker Buchanan,ATH,UT,Utah State,X
1933,0.8003,Jakolby Longino,QB,TX,UTEP,X
951,0.8519,Kaden Meredith,RB,TX,UTSA,Warm
966,0.8519,JaCorey Hyder,ILB,TX,UTSA,X
1324,0.8377,Eddie Lee Marburger,QB,TX,UTSA,X
1404,0.8352,Keithron Lee,WR,TX,UTSA,X
1451,0.8322,Ronnie Garza,OT,TX,UTSA,X
1559,0.8282,Jalen Rainey,S,TX,UTSA,X
1671,0.8214,Brian Mayes,CB,TX,UTSA,X
1705,0.8202,Nace Washington,OLB,TX,UTSA,X
1713,0.8194,Luke Lapeze,OG,TX,UTSA,X
1792,0.8139,Caden Holt,ILB,TX,UTSA,X
1840,0.8104,Edwin Smith,WR,TX,UTSA,X
1882,0.8054,River Gordon,OG,TX,UTSA,X
502,0.8742,Barylre Davenport,WDE,AL,Vanderbilt,Offer
579,0.8688,Aalah Brown,WR,GA,Vanderbilt,Offer
619,0.8667,Jack Bech,WR,LA,Vanderbilt,X
695,0.8627,Jaden Keller,ATH,TN,Vanderbilt,Offer
746,0.86,Xavier Castillo,OG,MD,Vanderbilt,X
786,0.858,Terion Sugick,DT,MD,Vanderbilt,X
1248,0.841,Dylan Betts-Pauley,RB,AL,Vanderbilt,X
1252,0.841,Tyson Russell,CB,FL,Vanderbilt,X
1259,0.841,Tyler Bence,DT,AL,Vanderbilt,X
1317,0.8377,Jake Ketschek,OT,NJ,Vanderbilt,X
1327,0.8376,Alan Wright,S,GA,Vanderbilt,X
1334,0.8376,Gage Pitchford,OT,GA,Vanderbilt,X
1346,0.8366,Jayson Raines,WR,NJ,Vanderbilt,Warm
1355,0.8366,Isiah Cox,ATH,TN,Vanderbilt,Offer
1537,0.8288,A.J. Campbell,WDE,OH,Vanderbilt,X
1619,0.8248,Ezra McAllister,ATH,MI,Vanderbilt,X
1660,0.8215,Zion Rucker,DT,TN,Vanderbilt,Warm
4000,0.86,Bryson Reeves,CB,CA,Vanderbilt,CB
5000,0.86,Michael Mincey,ILB,GA,Vanderbilt,Offer
306,0.8964,Logan Taylor,OT,VA,Virginia,X
351,0.8891,Josh McCarron,WDE,WA,Virginia,X
360,0.8887,Jacob Rodriguez,ATH,TX,Virginia,X
581,0.8688,Zemarion Harrell,OLB,VA,Virginia,Warm
610,0.8668,Hugh Laughlin,OT,GA,Virginia,X
644,0.8648,Michael Green,WR,VA,Virginia,X
748,0.8598,Jay Woolfolk,QB,VA,Virginia,X
789,0.8579,West Weeks,ATH,GA,Virginia,X
864,0.8552,Jesiah Davis,WR,NC,Virginia,X
868,0.8552,Javin Burke,ATH,TN,Virginia,X
904,0.854,Ty Furnish,OG,GA,Virginia,X
1006,0.8505,Micah Gaffney,CB,AL,Virginia,X
1010,0.8505,Amaad Foston,RB,GA,Virginia,X
1051,0.8485,Langston Long,S,NC,Virginia,X
1157,0.8452,Charlie Patterson,OT,GA,Virginia,X
1169,0.8444,Jack Witmer,TE,TX,Virginia,X
1174,0.8444,Jonas Sanker,S,VA,Virginia,X
1299,0.839,William Simpkins III,CB,MD,Virginia,X
1321,0.8377,James Jackson,ATH,VA,Virginia,X
1503,0.8309,Aidan Ryan,CB,VA,Virginia,X
1581,0.8265,Hunter Rice,RB,VA,Virginia,Offer
1594,0.8262,Malachi Fields,ATH,VA,Virginia,X
1606,0.8255,Eric Ford,OLB,MD,Virginia,CB
5000,0.82,Brandon Mackinnon,OT,MA,Virginia,Warm
159,0.9294,Tyleik Williams,DT,VA,Virginia Tech,CB
348,0.8894,Deonte Anderson,WDE,FL,Virginia Tech,Offer
379,0.8869,DJ Harvey,CB,CA,Virginia Tech,X
422,0.8802,Tray Curry,WR,TN,Virginia Tech,X
544,0.871,Jack Hollifield,ILB,NC,Virginia Tech,CB
668,0.8639,Jalen Stroman,S,VA,Virginia Tech,X
678,0.8633,Tahj Bullock,QB,NJ,Virginia Tech,X
689,0.8627,Kenji Christian,RB,AL,Virginia Tech,Warm
730,0.8607,Jaylen Jones,WR,VA,Virginia Tech,X
760,0.8593,Mattheus Carroll,WDE,MD,Virginia Tech,X
812,0.8573,Da'Wain Lofton,ATH,TX,Virginia Tech,X
963,0.8519,Nykelius Johnson,ATH,SC,Virginia Tech,X
967,0.8519,Cole Nelson,SDE,GA,Virginia Tech,X
985,0.8516,Canon Boone,OT,TX,Virginia Tech,CB
993,0.8506,Jalen Hoyle,S,NJ,Virginia Tech,X
1013,0.8499,Will Johnson,OLB,MD,Virginia Tech,X
1044,0.8485,Chance Black,RB,SC,Virginia Tech,X
1188,0.8431,Keli Lawson,ATH,VA,Virginia Tech,X
1229,0.8416,Kylen Austin,WR,MD,Virginia Tech,CB
1379,0.8357,Isi Etute,ILB,VA,Virginia Tech,X
1424,0.8336,Shawn Asbury II,CB,VA,Virginia Tech,X
1765,0.8154,Earl Miller,DT,FL,Virginia Tech,CB
1914,0.8018,Danijel Miletic,OG,GERM,Virginia Tech,X
5000,0.86,Malachi Thomas,RB,GA,Virginia Tech,X
5000,0.82,Bryce Goodner,OG,TN,Virginia Tech,X
744,0.86,Will Towns,RB,NJ,Wake Forest,X
775,0.8587,Santino Marucci,QB,FL,Wake Forest,X
822,0.8572,Jaydon Collins,OT,SC,Wake Forest,X
871,0.8551,DJ Sims,WR,VA,Wake Forest,X
884,0.8547,Bernard Gooden,DT,AL,Wake Forest,X
952,0.8519,Matt Gulbin,OG,CT,Wake Forest,X
973,0.8519,Quincy Bryant,CB,GA,Wake Forest,X
974,0.8519,Dylan Hazen,ILB,TX,Wake Forest,X
1082,0.8477,Damon Owens,OLB,TN,Wake Forest,Offer
1153,0.8452,Ikenna Ugbaja,DT,MA,Wake Forest,Warm
1220,0.8417,Erik Russell,OT,MA,Wake Forest,X
1231,0.8416,Ethan Hassler,WDE,TN,Wake Forest,Offer
1274,0.841,Brandon Williams,TE,SC,Wake Forest,X
1328,0.8376,Evan Slocum,S,GA,Wake Forest,X
1406,0.835,Christian Greene,WR,VA,Wake Forest,X
1407,0.8349,Joshua Sosanya,S,NC,Wake Forest,X
1440,0.8323,Nick Sharpe,DT,NC,Wake Forest,X
1742,0.8167,DaShawn Jones,CB,MD,Wake Forest,X
1902,0.8043,Dez Williams,WR,MD,Wake Forest,X
2015,0.7731,Matthew Dennis,K,NC,Wake Forest,X
8,0.9943,Sam Huard,QB,WA,Washington,X
172,0.9261,Byron Cardwell,RB,CA,Washington,Warm
207,0.9183,Owen Prentice,OG,WA,Washington,X
271,0.9028,Will Latu,ATH,WA,Washington,X
277,0.9015,Jabez Tinae,WR,WA,Washington,X
438,0.8784,Voi Tunuufi,DT,UT,Washington,X
458,0.877,Kuao Peihopa,DT,HI,Washington,X
462,0.8767,Zakhari Spears,CB,CA,Washington,X
599,0.8678,Maurice Heims,WDE,CA,Washington,X
625,0.8667,Jacob Schuster,DT,WA,Washington,CB
662,0.864,Dyson McCutcheon,CB,CA,Washington,X
712,0.8615,Velltray Jefferson,ATH,CA,Washington,Warm
889,0.854,Caleb Berry,RB,TX,Washington,X
1280,0.8404,Robert Wyrsch,OT,CA,Washington,X
1349,0.8366,Vincent Nunley,S,CA,Washington,Warm
1413,0.8348,Caden Jumper,ATH,WA,Washington,X
1566,0.8281,Siaosi Finau,DT,WA,Washington,X
2500,0.885,Quentin Moore,TE,JUCO,Washington,X
4000,0.82,Arnez Madison,CB,CA,Washington,Offer
846,0.8559,Jaden Hicks,S,NV,Washington State,X
862,0.8552,Elisha Lloyd,CB,CA,Washington State,X
867,0.8552,Tsion Nunnally,WR,CA,Washington State,X
930,0.8527,Jailen Weaver,WDE,CA,Washington State,Offer
933,0.8527,Zhen-Keith Sotelo,SDE,HI,Washington State,Offer
947,0.8519,Raam Stevenson Jr.,WDE,TX,Washington State,CB
979,0.8516,Reece Jesse,WR,KY,Washington State,Offer
1055,0.8484,Xavier Young,SDE,FL,Washington State,X
1069,0.8477,Xavier Ward,QB,CA,Washington State,X
1079,0.8477,K'wan Powell,RB,FL,Washington State,Offer
1136,0.8464,Jayhvion Gipson,OLB,TX,Washington State,X
1141,0.8456,David Gusta,DT,CA,Washington State,X
1165,0.8444,Orion Peters,WR,CA,Washington State,X
1176,0.8438,Brock Dieu,OG,AZ,Washington State,X
1181,0.8432,Andrew Edson,WDE,WA,Washington State,X
1222,0.8416,Jode McDuffie,WR,CA,Washington State,Offer
1436,0.8326,Caleb Kwalalon,RB,WA,Washington State,Offer
1518,0.8302,Christian Hilborn,OT,UT,Washington State,X
1599,0.8261,Ryan Kershaw,ILB,WA,Washington State,X
1613,0.8254,Adrian Shepherd,S,TX,Washington State,X
2500,0.8267,Fred Thompkins,ILB,CA,Washington State,X
3000,0.85,Kamal Hadden,CB,JUCO,Washington State,Offer
4000,0.83,Coco Lukrich,OG,UT,Washington State,Offer
5000,0.87,Semaj James,WR,FL,Washington State,Offer
5000,0.81,Nick Haberer,P,AUST,Washington State,X
81,0.9642,Wyatt Milum,OT,WV,West Virginia,X
287,0.8993,Kaden Prather,WR,MD,West Virginia,X
309,0.8962,Jaylen Anderson,RB,OH,West Virginia,X
385,0.8859,Trenton Adkins,ATH,VA,West Virginia,CB
444,0.878,Andrew Wilson-Lamp,WR,OH,West Virginia,X
549,0.8709,Eric McDaniels,RB,VA,West Virginia,Offer
580,0.8688,Will Crowder,QB,AL,West Virginia,X
634,0.8654,Ja'Corey Hammett,OLB,FL,West Virginia,X
709,0.8619,Tomas Rimac,OT,OH,West Virginia,X
713,0.8614,Hammond Russell,SDE,OH,West Virginia,X
799,0.8577,Da'Quan Gonzales,CB,FL,West Virginia,Offer
807,0.8573,Victor Wikstrom,TE,SWED,West Virginia,X
836,0.8564,Treylan Davis,TE,OH,West Virginia,X
1002,0.8506,Brayden Dudley,SDE,GA,West Virginia,X
1075,0.8477,Cameron Junior,OLB,OH,West Virginia,Offer
1152,0.8452,Saint McLeod,S,PA,West Virginia,X
1238,0.8416,Ozzie Hoffler,WDE,GA,West Virginia,Warm
1695,0.8204,Miles Capers,WDE,SC,West Virginia,Offer
3000,0.86,Nijel McGriff,SDE,JUCO,West Virginia,X
5000,0.82,Edward Vesterinen,SDE,FIN,West Virginia,X
5000,0.81,Will Fowler,K,SC,West Virginia,Offer
255,0.9067,Jaylen Reed,S,MI,Western Illinois,X
1218,0.8418,Jeremiah McClendon,S,FL,Western Kentucky,X
1350,0.8366,Cole Lourd,QB,CA,Western Kentucky,Offer
1651,0.8215,Tre Roberson,WR,AL,Western Kentucky,CB
1730,0.8173,Chance McDonald,QB,WA,Western Kentucky,X
1829,0.8104,Trey Lubin,S,FL,Western Kentucky,X
1431,0.8335,Henry Wilson,ATH,IL,Western Michigan,X
1495,0.8315,Jaali Parker,S,IL,Western Michigan,X
1553,0.8282,Dalton Dueweke,OG,MI,Western Michigan,X
1657,0.8215,Corey Walker,OLB,NJ,Western Michigan,X
1691,0.8204,Carson Briggs,OT,MI,Western Michigan,X
1770,0.8154,Zach Vode,ATH,IN,Western Michigan,X
1805,0.8119,Mareyohn Hrabowski,QB,MI,Western Michigan,X
1850,0.8087,Naahlyee Bryant,OLB,IL,Western Michigan,X
1866,0.8064,Zahir Abdus-Salaam,RB,NJ,Western Michigan,X
1903,0.8043,John Hofer,OT,IN,Western Michigan,X
1907,0.8031,Kadinn Morris,TE,IL,Western Michigan,X
1962,0.7944,Tyson Lee,SDE,IN,Western Michigan,X
1970,0.7903,Calvin Muraski,OT,WI,Western Michigan,X
1974,0.7897,Tyren Mason,WR,IN,Western Michigan,X
1980,0.7892,Aaron Wofford,ATH,IL,Western Michigan,X
13,0.9897,Nolan Rucci,OT,PA,Wisconsin,CB
125,0.943,JP Benzschawel,OT,WI,Wisconsin,X
136,0.9398,Riley Mahlman,OT,MN,Wisconsin,X
145,0.9356,TJ Bollers,WDE,IA,Wisconsin,X
192,0.922,Hunter Wohler,S,WI,Wisconsin,X
328,0.8929,Jack Pugh,TE,OH,Wisconsin,X
432,0.8789,Deacon Hill,QB,CA,Wisconsin,X
435,0.8789,Bryan Sanborn,ILB,IL,Wisconsin,X
513,0.8734,Darryl Peterson,OLB,OH,Wisconsin,X
516,0.873,Ayo Adebogun,WDE,WI,Wisconsin,X
521,0.8722,Jackson Acker,RB,WI,Wisconsin,X
526,0.8721,Loyal Crawford,RB,WI,Wisconsin,X
587,0.8687,Ricardo Hallman,CB,FL,Wisconsin,X
617,0.8667,Damon Ollison,OLB,OH,Wisconsin,Warm
756,0.8593,Mike Jarvis,SDE,NJ,Wisconsin,X
850,0.8559,Jake Chaney,ILB,FL,Wisconsin,X
1045,0.8485,Antwan Roberts,RB,TN,Wisconsin,X
1205,0.8424,Joseph Manjack,WR,TX,Wisconsin,Offer
1579,0.8265,Marquise Brunson,DT,VA,Wisconsin,Offer
4000,0.83,Zaequan Gilliespy,S,FL,Wisconsin,Offer
4000,0.86,Jordon Vaughn,RB,TX,Wyoming,Offer
1661,0.8215,Austin Tutas,QB,MD,Yale,X
1752,0.8165,Andrew Weisz,OT,FL,Yale,X
1794,0.8133,Nate Denney,RB,#N/A,Yale,
1994,0.7831,Connor Smith,OT,MA,Yale,X
1361,0.8366,Caron Richards,DT,#N/A,,
1366,0.8366,Saborn Campbell,S,#N/A,,
1477,0.8315,Caleb Anderson,WR,#N/A,,
1484,0.8315,Rashaun Ramsey,WR,#N/A,,
1506,0.8305,Derek Coombs,RB,#N/A,,
1544,0.8286,Jack Brandon,QB,#N/A,,
1580,0.8265,Griffin Duggan,OT,#N/A,,
1617,0.8252,Tony Muse,ATH,#N/A,,
1652,0.8215,Trey Higgins,ATH,#N/A,,
1659,0.8215,Ah-Shaun Davis,QB,#N/A,,
1665,0.8215,Colt Fulton,QB,CA,,
1666,0.8215,Seth Smith,QB,SC,,
1669,0.8215,Jacoby Leatherwood,ILB,TN,,
1684,0.8204,Travonte O'Neal,SDE,FL,,
1685,0.8204,Terrod Kearse,OLB,FL,,
1686,0.8204,Armon Bethea,OG,NY,,
1687,0.8204,Jamarian Samuel,RB,FL,,
1688,0.8204,Jamarion Ellis,OLB,FL,,
1723,0.818,Giovonni Scales,S,OH,,
1744,0.8165,Parker Bates,OT,KY,,
1745,0.8165,Jaelon Brown,OG,AL,,
1746,0.8165,Jason Amsler,OG,TN,,
1749,0.8165,Rayvon Crum,OT,AL,,
1751,0.8165,Earnest McDaniel,WR,CA,,
1754,0.8165,Tariq Jones,WDE,LA,,
1755,0.8165,Eric O'Neill,SDE,NY,,
1767,0.8154,Isaiah Bunn,OG,FL,,
1814,0.8115,Savone Tutt,RB,NC,,
1832,0.8104,Shepherd Bowling,OLB,TX,,
1835,0.8104,Andrew Butler,QB,NJ,,
1845,0.8099,Jamarcus Jones,WR,MS,,
1856,0.8083,Nickel Fields,RB,NC,,
1865,0.8064,Theo Grabill,WR,KS,,
1867,0.8054,Cortland Dicks,QB,MA,,
1868,0.8054,Isaiah Perkins,WR,MD,,
1869,0.8054,Jayon Carter,ATH,NJ,,
1870,0.8054,Ethan Hunt,DT,NJ,,
1871,0.8054,Tanner Krevokuch,TE,PA,,
1873,0.8054,Jake Harrington,WR,FL,,
1874,0.8054,Antonio Johnson,TE,FL,,
1877,0.8054,Jaydan Mayes,CB,OH,,
1888,0.8053,Jordan Love,DT,FL,,
1905,0.8032,Jahmir Dooley,RB,NJ,,
1915,0.8014,Roscoe Burton,RB,FL,,
1918,0.8003,Kye Holmes,S,DC,,
1919,0.8003,Keshawn Wheeler,RB,MD,,
1921,0.8003,Shoes Brinkley,ATH,PA,,
1922,0.8003,Jayden Truesdale,OLB,VA,,
1924,0.8003,Conrad Hawley,QB,MO,,
1947,0.7953,Taelen Brooks,RB,PA,,
1948,0.7953,MarQeese Dietz,WR,VA,,
1953,0.7953,Samuel Graham,S,MD,,
1975,0.7892,Ryan Wills,OT,PA,,
1986,0.7864,Zane Smith,P,SC,,
1988,0.7853,Ralph Williams,RB,FL,,
2018,0.7731,Miles Mitchell,OLB,NJ,,
2020,0.7681,Naieem Kearney,RB,WV,,